CTV1
Cal2021ba 11-12 c, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 99, 0, 0, 0, 
Chm2021 Fa 11-12 c, 1, 0, 1, 1, 1, 3, 0, 2, 1, 1, 99, 0, 0, 0, 
DeC2021Sc 11-12 c, 1, 0, 2, 2, 1, 1, 0, 99, 1, 0, 0, 0, 0, 0, 
DyJ2021Bl 11-12 c, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 99, 0, 99, 2, 
EVJ2021Th 11-12 c, 1, 0, 1, 1, 1, 1, 1, 2, 0, 0, 99, 0, 0, 0, 
EVM2021Ro 11-12 c, 1, 0, 2, 1, 1, 1, 0, 1, 0, 0, 99, 0, 0, 2, 
HAG2021AN 11-12 c, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 99, 0, 0, 0, 
Hu2021Ka 11-12 c, 1, 0, 1, 1, 1, 3, 0, 1, 0, 0, 99, 0, 0, 2, 
JaC2021Wa 11-12 c, 1, 0, 1, 1, 1, 1, 2, 1, 0, 0, 99, 99, 0, 0, 
JaJ2021De 11-12 c, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 99, 0, 0, 0, 
JaY2021Ba 11-12 c, 1, 0, 1, 1, 1, 3, 0, 1, 0, 0, 99, 99, 2, 2, 
Joh2021go 11-12 c, 1, 0, 0, 1, 1, 1, 0, 1, 99, 0, 99, 0, 0, 0, 
Jok2021LE 11-12 c, 1, 0, 2, 1, 1, 1, 1, 99, 0, 0, 0, 0, 0, 2, 
MeE2021Co 11-12 c, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 99, 2, 99, 0, 
RoR2021Ba 11-12 c, 1, 0, 1, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 99, 
SyS2021 Ra 11-12 c, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 99, 99, 2, 2, 
Vi2021Ng 11-12 c, 1, 0, 1, 1, 1, 1, 0, 1, 99, 0, 0, 0, 0, 0, 
Vil2021Sa 11-12 c, 1, 0, 2, 1, 1, 1, 1, 1, 0, 0, 99, 2, 2, 2, 
Wic2021Wi 11-12 c, 1, 0, 1, 1, 1, 1, 0, 2, 0, 99, 0, 0, 0, 0, 
